feature,n_valid,shapiro_stat,shapiro_p_value,is_normal_global_p_ge_0_05,shapiro_q_value_fdr,is_normal_after_fdr_q_ge_0_05
ADC_FEATURE_RESULTS,113,0.1467317456716919,1.115539367922306e-22,False,1.935623510681724e-21,False
ADC_Morph_Volume_cm3,113,0.14700922103040837,1.1235334039393996e-22,False,1.935623510681724e-21,False
ADC_Morph_ApproximateVolume_cm3,113,0.14700922103040814,1.1235334039393996e-22,False,1.935623510681724e-21,False
ADC_Morph_voxelsCounting_vx,113,0.2736018918787998,3.586011511335972e-21,False,3.2498229321482246e-20,False
ADC_Morph_SurfaceArea_cm2,113,0.9652368260467682,0.004891867145856316,False,0.005960678455035007,False
ADC_Morph_SurfaceToVolumeRatio_cm,113,0.755476984593253,1.9641335689437326e-12,False,4.99648013152353e-12,False
ADC_Morph_Compacity,113,0.9448501424470055,0.00015076705046946956,False,0.0002072153774224937,False
ADC_Morph_Compactness1,113,0.9772492231748615,0.05085626453195536,True,0.05716401827235293,True
ADC_Morph_Compactness2,113,0.7978446114997976,3.6386753194639336e-11,False,8.148384885286029e-11,False
ADC_Morph_SphericalDisproportion,113,0.9250643385928766,8.593468778646013e-06,False,1.2554689903311556e-05,False
ADC_Morph_Sphericity,113,0.7978446114997971,3.638675319463801e-11,False,8.148384885286029e-11,False
ADC_Morph_Asphericity,113,0.7247759707608185,2.9263855857259455e-13,False,8.121070046512193e-13,False
ADC_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,113,0.9776698677855891,0.05536379938217174,True,0.06211025849450601,True
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,113,0.9284193170018569,1.3564069161102932e-05,False,1.966790028359925e-05,False
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,113,0.6736035849867219,1.666479251226842e-14,False,5.369766476175379e-14,False
ADC_Morph_CentreOfMassShift_mm,113,0.8328516819959118,5.639249566652312e-10,False,1.1476367539152075e-09,False
ADC_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,113,0.8254067346071621,3.0564023863426455e-10,False,6.286217674038066e-10,False
ADC_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,113,0.43324194000851735,5.8787581466429e-19,False,3.4441209343968505e-18,False
ADC_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,113,0.9493318070662949,0.0003077343718644329,False,0.00040937141211323645,False
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,113,0.9359789399501839,3.955614378993934e-05,False,5.595747170284101e-05,False
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,113,0.6191749860913383,1.1036912871297292e-15,False,4.156759393085993e-15,False
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,113,0.6760111908283819,1.8928640171080066e-14,False,5.967674217968131e-14,False
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,113,0.6419234634953774,3.309535161357012e-15,False,1.1633517536891315e-14,False
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,113,0.5987037189388773,4.276163770538228e-16,False,1.7223437409112306e-15,False
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,113,0.568829418893247,1.139788700871727e-16,False,5.008162473527285e-16,False
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,113,0.6167292819408097,9.83592892389475e-16,False,3.778038924409904e-15,False
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,113,0.6669323378646241,1.1749641846411278e-14,False,3.903028575171488e-14,False
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,113,0.7167544350970291,1.8239053875058036e-13,False,5.263010570912269e-13,False
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,113,0.7944398389592426,2.8361907235598324e-11,False,6.476341022301979e-11,False
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,113,0.6708275507927484,1.44004486235093e-14,False,4.7456023872928376e-14,False
