Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.6650887573964498,0.6672619901418909,0.5626341968882539,0.7629634661835748,0.7077094854797872,0.7114213487121839,0.5965826660067499,0.8177001993728557,0.6153846153846154,0.6115384615384616,0.6461538461538462,0.5769230769230769,0.65625,0.5660377358490566,0.6511627906976745,0.2226487523992322,0.22761759289965444,30,22,23,42,14.0,0.0
XGBoost,0.6032544378698225,0.6038024545553162,0.49820241169518975,0.7124437428243399,0.6585644487757822,0.664138855371581,0.5442951514806017,0.7800314768907433,0.5982905982905983,0.5961538461538461,0.6153846153846154,0.5769230769230769,0.6451612903225806,0.5454545454545454,0.6299212598425197,0.19120458891013392,0.2898461820819451,30,22,25,40,14.0,0.0
LightGBM,0.5979289940828402,0.5976248090001552,0.4948733899297424,0.7014834599556822,0.6567661212836144,0.6629714136386513,0.5432724416724446,0.7781067587953839,0.5641025641025641,0.5576923076923077,0.6153846153846154,0.5,0.6060606060606061,0.5098039215686274,0.6106870229007634,0.11560693641618491,0.2769563439125922,26,26,25,40,14.0,0.0
NaiveBayes,0.5915680473372781,0.5930767761824177,0.4890755723147929,0.6941289218159908,0.6498349731866067,0.6555308745485383,0.5274184635661922,0.7730386100801757,0.5897435897435898,0.5576923076923077,0.8461538461538461,0.2692307692307692,0.5913978494623656,0.5833333333333334,0.6962025316455697,0.12195121951219523,0.3760012236606573,14,38,10,55,14.0,0.0
RandomForest,0.5748520710059172,0.5748753732018933,0.4687155700909012,0.6808603873528779,0.6449750575689508,0.653047669031084,0.529373318971709,0.7632185621010363,0.5555555555555556,0.5538461538461539,0.5692307692307692,0.5384615384615384,0.6065573770491803,0.5,0.5873015873015873,0.10687022900763354,0.2559148571440819,28,24,28,37,14.0,0.0
SVM_RBF,0.5541420118343195,0.5554968626165738,0.4492903815562724,0.6592770235941136,0.6202813291438161,0.6252400319849403,0.5106467451510993,0.7364760884365541,0.5384615384615384,0.5173076923076924,0.7076923076923077,0.3269230769230769,0.5679012345679012,0.4722222222222222,0.6301369863013698,0.0357142857142857,0.24788366582275115,17,35,19,46,14.0,0.0
ExtraTrees,0.5405325443786982,0.5407772076958747,0.42364731877599526,0.6525490711705633,0.5912127371415243,0.6009588025321079,0.48179460218163805,0.7245981922742283,0.5555555555555556,0.5461538461538462,0.6307692307692307,0.46153846153846156,0.5942028985507246,0.5,0.6119402985074627,0.09302325581395354,0.24618222527320982,24,28,24,41,14.0,0.0
GradientBoosting,0.5069526627218934,0.5069071399519048,0.40426043814883433,0.6180993533777146,0.5842165673528905,0.5974201577460302,0.4727847889706425,0.7224897304246324,0.5128205128205128,0.5019230769230769,0.6,0.40384615384615385,0.5571428571428572,0.44680851063829785,0.5777777777777777,0.003883495145631022,0.27406494594950886,21,31,26,39,14.0,0.0
KNN,0.48343195266272193,0.48246366175953587,0.37685106371757954,0.5873032085241388,0.5804914664375871,0.5881758868710725,0.4741669539561843,0.7069742304652101,0.46153846153846156,0.43846153846153846,0.6461538461538462,0.23076923076923078,0.5121951219512195,0.34285714285714286,0.5714285714285714,-0.12723658051689868,0.28829603784601743,12,40,23,42,14.0,0.0
SVM_Linear,0.4807692307692308,0.48166305341954274,0.37606541009156436,0.5904420194003527,0.5726469877552147,0.5797343267519174,0.4613483319180095,0.700340481264486,0.49572649572649574,0.47307692307692306,0.676923076923077,0.2692307692307692,0.5365853658536586,0.4,0.5986394557823129,-0.055666003976143186,0.25652047353088897,14,38,21,44,14.0,0.0
