Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.5497041420118344,0.550817544928341,0.44830582703300753,0.6509909769691424,0.6110251981662129,0.6210126172227536,0.49591022923372885,0.7411910524331821,0.5384615384615384,0.551923076923077,0.4307692307692308,0.6730769230769231,0.6222222222222222,0.4861111111111111,0.509090909090909,0.09999999999999998,0.27950187487990813,35,17,37,28,145.0,0.0
XGBoost,0.5405325443786984,0.5408397176735473,0.4388860544217687,0.6442403395784543,0.6114445199175675,0.6232246391746167,0.5084130032055438,0.7473529732125025,0.5384615384615384,0.5230769230769231,0.6615384615384615,0.38461538461538464,0.5733333333333334,0.47619047619047616,0.6142857142857143,0.04705882352941182,0.3206365125834577,20,32,22,43,145.0,0.0
ExtraTrees,0.5310650887573964,0.532039748907215,0.42513863375430544,0.6411295884966097,0.600470231622049,0.6137380845562628,0.4897856700655738,0.730921094646239,0.49572649572649574,0.49038461538461536,0.5384615384615384,0.4423076923076923,0.546875,0.4339622641509434,0.5426356589147286,-0.019193857965451144,0.2561638482832336,23,29,30,35,145.0,0.0
LightGBM,0.5232248520710059,0.5235001062731178,0.4159648282389879,0.6317373782597986,0.5977013580646032,0.6103508708277866,0.4914216854105144,0.7402468478109974,0.5384615384615384,0.5365384615384616,0.5538461538461539,0.5192307692307693,0.5901639344262295,0.48214285714285715,0.5714285714285714,0.0725190839694656,0.2796569801157227,27,25,29,36,145.0,0.0
NaiveBayes,0.5223372781065089,0.5217495001216814,0.4234524599226092,0.620769343571695,0.5668304007266001,0.5690454652813246,0.4610224775058602,0.6756330605692953,0.5470085470085471,0.5134615384615384,0.8153846153846154,0.21153846153846154,0.5638297872340425,0.4782608695652174,0.6666666666666666,0.02851323828920571,0.45181579861667387,11,41,12,53,145.0,0.0
SVM_Linear,0.5112426035502958,0.5116286744693925,0.40365057313247876,0.6215811568914404,0.5656736655612168,0.5780600529596669,0.45997054682805744,0.7056793230370253,0.5299145299145299,0.5057692307692307,0.7230769230769231,0.28846153846153844,0.5595238095238095,0.45454545454545453,0.6308724832214765,0.011976047904191711,0.2637944826856989,15,37,18,47,145.0,0.0
GradientBoosting,0.49999999999999994,0.5000685992942344,0.39457152166829584,0.6101289844332454,0.5741540557648566,0.584638764062965,0.4667073022056711,0.7097337797691572,0.5299145299145299,0.5096153846153846,0.6923076923076923,0.3269230769230769,0.5625,0.4594594594594595,0.6206896551724138,0.01980198019801982,0.30363726539898345,17,35,20,45,145.0,0.0
SVM_RBF,0.4934911242603551,0.4939523947713612,0.38230001232589667,0.601358867196633,0.5426860794128814,0.5546230867003888,0.44383997163123634,0.6776579444223909,0.5384615384615384,0.5115384615384615,0.7538461538461538,0.2692307692307692,0.5632183908045977,0.4666666666666667,0.6447368421052632,0.02409638554216864,0.2687770627799652,14,38,16,49,145.0,0.0
RandomForest,0.4784023668639053,0.47939433003111176,0.37521369082407946,0.5893759535963835,0.5477499403683281,0.5611951135196637,0.44864010870415477,0.6823651345454979,0.5299145299145299,0.5211538461538461,0.6,0.4423076923076923,0.5735294117647058,0.46938775510204084,0.5864661654135338,0.04255319148936165,0.28255593674071267,23,29,26,39,145.0,0.0
KNN,0.47514792899408287,0.47452732900476524,0.36552407537088916,0.5829924070022636,0.5600414970083123,0.5698683431660007,0.4525668796258975,0.6969969538802611,0.47863247863247865,0.4538461538461539,0.676923076923077,0.23076923076923078,0.5238095238095238,0.36363636363636365,0.5906040268456376,-0.0958083832335328,0.28699723521305553,12,40,21,44,145.0,0.0
