Pair_Tag,Dataset_A,Dataset_B,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE
ADC_Post1,ADC,Post1,corr_mrmr_auto_k,corr_mrmr,LightGBM,SVM_Linear,0.7563492063492063,0.7574206349206349,0.001071428571428612,0.7225396825396826,0.7173015873015873,-0.005238095238095264,0.7890283912799024,0.8067385351563484,0.017710143876445983,0.6897222222222221,0.7033333333333334,0.01361111111111124,9.2,9.2,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1,ADC,Post1,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_RBF,0.7927380952380952,0.8041666666666668,0.011428571428571566,0.7726984126984127,0.7830158730158729,0.01031746031746028,0.8474377926664381,0.8386463257136487,-0.008791466952789428,0.6842857142857144,0.7404365079365081,0.05615079365079367,8.4,8.4,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1,ADC,Post1,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,KNN,KNN,0.7637301587301588,0.7708531746031746,0.007123015873015781,0.6973015873015872,0.7138095238095238,0.016507936507936583,0.7822141820168137,0.7997997693263431,0.017585587309529416,0.6973412698412699,0.6916269841269841,-0.005714285714285783,7.2,7.2,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post2,ADC,Post2,corr_mrmr_auto_k,corr_mrmr,ExtraTrees,LogisticRegression,0.7121531445694125,0.7094767106011125,-0.002676433968299974,0.6196875,0.660625,0.04093750000000007,0.781341415347024,0.7575103745850875,-0.02383104076193643,0.6174700007594744,0.6586097820308346,0.0411397812713602,12.8,12.8,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post2,ADC,Post2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,LogisticRegression,0.8083208940625207,0.8031600235667222,-0.0051608704957984974,0.7078125,0.7443749999999999,0.03656249999999994,0.865824512156542,0.8692137834286455,0.0033892712721035334,0.6886416799574695,0.7098503835345941,0.021208703577124566,12.8,12.8,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post2,ADC,Post2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_Linear,LogisticRegression,0.8272747295235334,0.8191662121327192,-0.008108517390814196,0.7518750000000001,0.7759375000000001,0.024062499999999987,0.8824926507852652,0.8790091550112289,-0.0034834957740362826,0.7284542796384903,0.7205396065922383,-0.007914673046252041,8.8,8.8,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Pre,ADC,Pre,corr_mrmr_auto_k,corr_mrmr,SVM_RBF,LogisticRegression,0.6955157176688277,0.6792866003392318,-0.016229117329595866,0.6,0.64375,0.04375000000000007,0.7463754618965338,0.7021095946972914,-0.044265867199242415,0.558375104427736,0.6564486975013291,0.09807359307359309,9.6,9.6,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Pre,ADC,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_Linear,0.7571619935974003,0.7410646565909723,-0.016097337006428014,0.6690625,0.6840625,0.015000000000000013,0.7694451807768414,0.7447090059704912,-0.024736174806350264,0.6832594744436851,0.6685951621477938,-0.014664312295891269,12.0,12.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Pre,ADC,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,SVM_RBF,0.7325205288243566,0.7463391030376675,0.013818574213310897,0.6734375,0.69875,0.02531249999999996,0.7789900490902436,0.7936092739199947,0.014619224829751087,0.6500018986861092,0.6422241209083314,-0.007777777777777883,8.8,8.8,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_T2,ADC,T2,corr_mrmr_auto_k,corr_mrmr,GradientBoosting,GradientBoosting,0.6895703906230223,0.7001920319623669,0.010621641339344623,0.61234375,0.6575000000000001,0.04515625000000012,0.7585454352638928,0.7513646428430747,-0.0071807924208181495,0.6373004480899218,0.6544928609402294,0.017192412850307592,10.0,10.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
