Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features
ExtraTrees,0.681875,0.7279564452450169,0.631578947368421,0.6390625,0.578125,0.7,0.7115384615384616,0.5645161290322581,0.6379310344827587,0.2710109622411694,0.22868368485446244,20.0,0.0
LogisticRegression,0.6784374999999999,0.7189357108498557,0.631578947368421,0.645625,0.53125,0.76,0.7391304347826086,0.5588235294117647,0.6181818181818182,0.28021647624774504,0.23901202288919518,20.0,0.0
SVM_RBF,0.6753125,0.7449572208944929,0.6491228070175439,0.6481250000000001,0.65625,0.64,0.7,0.5925925925925926,0.6774193548387096,0.29368029739776946,0.22958220882404612,20.0,0.0
KNN,0.66453125,0.7408980275089336,0.631578947368421,0.62375,0.6875,0.56,0.6666666666666666,0.5833333333333334,0.676923076923077,0.24858757062146886,0.23611015913285363,20.0,0.0
SVM_Linear,0.653125,0.6923874429270922,0.6578947368421053,0.6581250000000001,0.65625,0.66,0.711864406779661,0.6,0.6829268292682927,0.31282843894899537,0.24427319933833613,20.0,0.0
RandomForest,0.6453124999999998,0.6796523329290762,0.6228070175438597,0.6225,0.625,0.62,0.6779661016949152,0.5636363636363636,0.6504065040650406,0.2423493044822257,0.24085835181388193,20.0,0.0
XGBoost,0.6271875,0.6947472832064162,0.6052631578947368,0.59375,0.6875,0.5,0.6376811594202898,0.5555555555555556,0.6616541353383458,0.18957345971563977,0.2792423346118482,20.0,0.0
GradientBoosting,0.6259374999999999,0.7232912418515267,0.543859649122807,0.5171875,0.734375,0.3,0.573170731707317,0.46875,0.6438356164383562,0.03578399479505523,0.2582794791293871,20.0,0.0
NaiveBayes,0.61625,0.6688472126011713,0.6140350877192983,0.5775,0.875,0.28,0.6086956521739131,0.6363636363636364,0.717948717948718,0.16511318242343553,0.36165598830510176,20.0,0.0
LightGBM,0.59734375,0.6446316681810662,0.5526315789473685,0.5446875,0.609375,0.48,0.6,0.4897959183673469,0.6046511627906976,0.08957093642342628,0.28298983919672777,20.0,0.0
